આફ્રિકા	Африка
પ્રતાપગઢ	Пратапгарх (Уттар-Прадеш)
મલપ્પુરમ જિલ્લો	Малаппурам (округ)
હેલ બેરી	Берри, Хэлли
જ્ઞાનેશ્વર	Днянешвар
કરમદાં	Каранда
જેટકનેક્ટ	JetLite
વિશ્વ બૌદ્ધિક સંપદા દિન	Международный день интеллектуальной собственности
દ્રૌપદી	Драупади
દરિયાઈ પ્રદૂષણ	Загрязнение океанов
ચંબા જિલ્લો	Чамба (округ)
ચંબલ નદી	Чамбал
ચામુંડા	Чамунда
બલરામ	Баларама
કચ્છ જિલ્લો	Кач (округ)
આંતરરાષ્ટ્રીય યુવાદિન	Международный день молодёжи
સેલહર્સ્ટ પાર્ક	Селхерст Парк
યોગસૂત્ર	Йога-сутры
સૌરાષ્ટ્ર	Саураштра
ફિંગર ઇલેવન	Finger Eleven
કયામત	Исламская эсхатология
ચીપકો આંદોલન	Чипко
ચિત્તોડગઢ જિલ્લો	Читторгарх (округ)
વાલ	Лобия
તીર્થંકર	Тиртханкара
નવગ્રહ	Наваграха
દર્શન	Философия индуизма
અગન ચંડુલ	Яванский жаворонок
શિરાજી કાબર	Береговая майна
નાગેશ્વર	Нагешвара
ચુરુ જિલ્લો	Чуру (округ)
ભારતનો સ્વાતંત્ર્ય સંગ્રામ	Индийское национально-освободительное движение
ભીમાશંકર	Бхимашанкар
ઓમકારેશ્વર	Омкарешвар
કેમ્પર્સ નેટવર્ક	Campus Area Network
અષાઢ	Ашадха
લલિતપુર જિલ્લો, નેપાળ	Лалитпур (район)
કચ્છનું મોટું રણ	Большой Качский Ранн
જેકુઝી	Джакузи
લીડ્ઝ યુનાઈટેડ ફૂટબૉલ ક્લબ	Лидс Юнайтед
લિવરપૂલ ફૂટબોલ ક્લબ	Ливерпуль (футбольный клуб)
જયપુર જિલ્લો	Джайпур (округ)
સાતારા જિલ્લો	Сатара (округ)
ડાંગ જિલ્લો	Данг
ઈન્સીડ	INSEAD
કરોડ	Крор
સૂર્યનમસ્કાર	Сурья-намаскара
દાળ	Дал (блюдо)
પ્રજાસત્તાક દિન (ભારત)	День республики (Индия)
કોઝીક્કોડ જિલ્લો	Кожикоде (округ)
આંતરરાષ્ટ્રીય દાયણ દિવસ	Международный день акушерки
નદિયા જિલ્લો	Надия
સોમનાથ	Сомнатх
મિર્જાપુર જિલ્લો	Мирзапур (округ)
ગોરખપુર જિલ્લો	Горакхпур (округ)
હઠયોગ પ્રદીપિકા	Хатха-йога-прадипика
આંતરરાષ્ટ્રીય પરીચારિકા દિવસ	Международный день медицинской сестры
ગૌડીય વૈષ્ણવ સંપ્રદાય	Гаудия-вайшнавизм
ટાટા ઇન્ડિકા	Tata Indica
સાતપુડા પર્વતમાળા	Сатпура
કુચિપુડી નૃત્ય	Кучипуди
ઈન્ટરનેટ એક્ટીવિઝમ (ચળવળ)	Интернет-активизм
દમણ જિલ્લો	Даман (округ)
વાઇસ સિટી	Вайс-Сити
દીક્ષાભૂમિ	Дикшабхуми
ડાકોર	Дакор
ચિત્રકૂટ ધામ	Читракута
ચુરુ	Чуру (город)
દેવગઢ	Деогарх
સાંપ્રદાયિક ગ્રંથો	Литература индуизма
અશોક ચક્ર (પુરસ્કાર)	Ашока Чакра (орден)
અગિયારશ	Экадаши
વિશ્વની સાત મોટી ભૂલો	Семь мировых ошибок
સિગ પ્રો	SIG-Sauer Pro
પંજાબ (સંદિગ્ધ)	Пенджаб (значения)
આહાર સુરક્ષા	Продовольственная безопасность
સી.એન.આર.રાવ	Рао, Чинтамани Нагеса Рамачандра
મીન રાશી	Рыбы (знак зодиака)
પંચશીલના સિદ્ધાંતો	Пять принципов мирного сосуществования
નાયર	Наиры
સિંધી લોકો	Синдхи (народ)
વન કાબર	Бурая майна
ડોડા	Дода (Индия)
ધોલપુર	Дхолпур
મરાઠી લોકો	Маратхи (народ)
ડુંગરપુર જિલ્લો	Дунгарпур (округ)
દેવાસ	Девас
સંબલપુર જિલ્લો	Самбалпур (округ)
દ્વાપરયુગ	Двапара-юга
વિક્રમાદિત્ય	Викрамадитья
દૂધી	Лагенария обыкновенная
ગુજરાતી	Гуджаратцы
જમદગ્નિ	Джамадагни
શનિદેવ	Шани
કમ્પ્યુટર નેટવર્ક	Компьютерная сеть
તુમકુર જિલ્લો	Тумкур (округ)
રામકૃષ્ણ મિશન	Общество Рамакришны
આકાશવાણી	Всеиндийское радио
સમય માપવાનાં સાધનોનો ઇતિહાસ	История часов
વારાણસી જિલ્લો	Варанаси (округ)
હરે કૃષ્ણ મંત્ર	Харе Кришна
રાયબરેલી જિલ્લો	Рай-Барели (округ)
ત્રિપિટક	Трипитака
ઉદયપુર જિલ્લો	Удайпур (округ)
અંડ કોષ	Яйцеклетка
જટાયુ	Джатаю
હોમ નેટવર્ક	Домовая сеть
સૂરદાસ	Сурдас
વિલુપ્પુરમ	Виллупурам
જપમાળા	Джапа-мала
કાજળ	Кайал
જ્યોતિર્લિંગ	Джьотирлингам
સંન્યાસ	Санньяса
મુરાદાબાદ જિલ્લો	Морадабад (округ)
ગોએર	GoAir
જલપાઈગુડી જિલ્લો	Джалпайгури (округ)
આચાર્ય	Ачарья
કોટ્ટયમ જિલ્લો	Коттаям (округ)
જૌનપુર જિલ્લો	Джаунпур (округ)
ઇન્સાસ	INSAS
એર્નાકુલમ જિલ્લો	Эрнакулам (округ)
હનુમાનગઢ જિલ્લો	Ханумангарх (округ)
કોલ્લમ જિલ્લો	Коллам (округ)
મહારાજગંજ જિલ્લો	Махараджгандж (округ)
સુલ્તાનપુર જિલ્લો	Султанпур (округ)
તેહરી ગઢવાલ જિલ્લો	Тихри-Гархвал
માંકેવી વયંસેવ	Агнес Моника
વયનાડ જિલ્લો	Ваянад
વિક્રમ સંવત	Викрам-самват
ભારતીય ઇસ્પાત પ્રાધિકરણ લિમિટેડ	Steel Authority of India Limited
ભારતીય ઓલિમ્પિક સંઘ	Олимпийский комитет Индии
