Aafrika	Африка
Björn Lind	Линд, Бьёрн
§ 58	Статья 58 Уголовного кодекса РСФСР
Hääldusalus	Артикуляционная база
Chris Martin	Мартин, Крис
Punane telefoniputka	Красная телефонная будка
Sheng Yen	Шэнъянь
Stein Eriksen	Эриксен, Стейн
Aubange	Обанж
Vaagen	Таз (анатомия)
Bertogne	Бертонь
Santa Cruzi saar (Galápagose saared)	Санта-Крус (Галапагосские острова)
Bertrix	Бертри
Artis Pabriks	Пабрикс, Артис
Chiny	Шини
Odd-Bjørn Hjelmeset	Йельмесет, Одд-Бьёрн
Daverdisse	Давердис
Fauvillers	Фовилле
Mike Dirnt	Дёрнт, Майк
Florenville	Флоранвиль
Gouvy	Гуви
Herbeumont	Эрбёмон
Mafia	Мафия (остров)
Léglise	Леглиз
Libin	Либен
Manhay	Мане (Бельгия)
Martelange	Мартеланж
Stojan Danev	Данев, Стоян Петров
La Plata lahing	Битва у Ла-Платы
Stefan Sofijanski	Софиянский, Стефан Антонов
Musson	Мюсон
Rendeux	Рандё
Klaad	Клада
Rouvroy (Belgia)	Рувруа (Бельгия)
Sainte-Ode	Сент-Од
Saint-Hubert (Belgia)	Сент-Юбер
Lääne-Saksamaa	Федеративная Республика Германии (до 1990)
Harald Tammer	Таммер, Харальд
Georges Darboy	Дарбуа, Жорж
Jasper Fforde	Ффорде, Джаспер
Saint-Léger (Belgia)	Сен-Леже (Бельгия)
2030. aastad	2030-е годы
Tellini vald	Теллен
Lukáš Konečný	Конечны, Лукаш
Tintigny	Тентиньи
Wellini vald	Веллен
Rune Elmqvist	Элмквист, Руне
Gavin Bryars	Брайерс, Гэвин
Robertino Loreti	Лоретти, Робертино
Ivan Papanin	Папанин, Иван Дмитриевич
Roberto Gerhard	Герхард, Роберто
Narcís Monturiol i Estarriol	Монтуриоль, Нарсис
Lil' Cease	Lil’ Cease
Ezo Vabariik	Республика Эдзо
KV-2	КВ-2
Vladimir Triandafillov	Триандафиллов, Владимир Кириакович
Xu Beihong	Сюй Бэйхун
Jenni Rivera	Ривера, Дженни
Dmitri Kozak	Козак, Дмитрий Николаевич
Frederick Fleet	Флит, Фредерик
Wang Fuzhi	Ван Фучжи
Artur Kapp	Капп, Артур Иосифович
Brian Sandoval	Сэндовал, Брайан
Ivan Silajev	Силаев, Иван Степанович
Makira	Сан-Кристобаль (остров, Соломоновы Острова)
Néa Salamís Famagusta FC	Неа Саламина Фамагуста
Bandai	Бандай (вулкан)
Bill Kristol	Кристол, Уильям
Louis Wain	Уэйн, Луис Уильям
Kategooria (filosoofia)	Категория (философия)
Jevgeni Petrov	Петров, Евгений Петрович
Brinelli kõvadus	Метод Бринелля
Louis Claude Richard	Ришар, Луи Клод
Põhjala teooria	Нордическая раса
Gripsholmi loss	Грипсхольм
Artur Rinne	Ринне, Артур
Plagioklass	Плагиоклаз
The Edge	Эдж (музыкант)
Korrapärane hulknurk	Правильный многоугольник
Artur Vader	Вадер, Артур Павлович
Christian Daniel Rauch	Раух, Христиан Даниэль
Yanbiani Korea autonoomne ringkond	Яньбянь-Корейский автономный округ
Teide rahvuspark	Тейде (национальный парк)
Matteo I Visconti	Маттео I Висконти
540. aastad eKr	540-е годы до н. э.
Maailmameri	Мировой океан
Taiwani keeled	Тайваньские языки
PROTECT IP Act	PROTECT IP Act
Atsetüülkoensüüm A	Ацетил-КоА
Arturo Kinch	Кинч, Артуро
Lümfotsüüt	Лимфоциты
Vastandarv	Противоположное число
Aasia maad	Список государств и зависимых территорий Азии
Tahkisefüüsika	Физика твёрдого тела
Taiwani jeen	Тайваньская иена
Zheng Wanjun	Чжэн Ваньцзюнь
Gu Chaohao	Гу Чаохао
Hiroyoshi Nishizawa	Нисидзава, Хироёси
ReLoad (Metallica)	ReLoad
Tüüp 92	Тип 92 (танк)
Hamazasp Babadžanjan	Бабаджанян, Амазасп Хачатурович
Jing Fang	Цзин Фан
Sahhalini laht	Сахалинский залив
Nevelskoi väin	Пролив Невельского
Komagatake	Комагатаке
Arturo Rodríguez	Родригес Хурадо, Артуро
Meiji-Sanriku maavärin 1896	Землетрясение и цунами Мэйдзи Санрику (1896)
ISO 639-1	ISO 639-1
Ivelin Popov	Попов, Ивелин
Ryan Nugent-Hopkins	Нюджент-Хопкинс, Райан
Vladas Mikėnas	Микенас, Владас
Mikko Koivu	Койву, Микко
Kaitseseisukord	Военное положение
Riigiduuma	Государственная дума
Mihhail Gerassimov	Герасимов, Михаил Михайлович
Ringliikumine	Круговое движение
Kapten (jalgpall)	Капитан (футбол)
Ürgimetajad	Первозвери
Halhõn gol	Халхин-Гол
Balrog	Балрог
Ragnar Wilhelm Nurkse	Нурксе, Рагнар
Aruba Dushi Tera	Гимн Арубы
Eugene Nida	Найда, Юджин
Primo Zamparini	Дзампарини, Примо
Éowyn	Эовин
Kai Donner	Доннер, Кай
Montgomery Burns	Чарльз Монтгомери Бёрнс
Aureliano Bolognesi	Болоньези, Аурельяно
Fëanor	Феанор
PID-kontroller	ПИД-регулятор
Raudlinn	Изенгард
.ss	.ss
Jašalta rajoon	Яшалтинский район
Arvid August Afzelius	Афцелиус, Арвид-Август
Pitchi asfaldijärv	Пич-Лейк
Qemal Stafa staadion	Кемаль Стафа (стадион)
Arvīds Pelše	Пельше, Арвид Янович
Teise maailmasõja sõjaväeliste auastmete võrdlev tabel	Звания Второй мировой войны
Wilbert McClure	Макклюр, Уилберт
Walter Kieber	Кибер, Вальтер
Momir Petković	Петкович, Момир
Eduard Bornhöhe	Борнхёэ, Эдуард
Niccolò Albergati	Альбергати, Николо
Pavel Schilling	Шиллинг, Павел Львович
Ago Neo	Нео, Аугуст
Frank DiGennara	Ди Дженнара, Фрэнк
Rudolf Beran	Беран, Рудольф
William T. Anderson	Андерсон, Уильям Т.
Jean-Marc Gaillard	Гайяр, Жан-Марк
Jóan Símun Edmundsson	Эдмундссон, Йохан Суймун
Ilja Tšernoussov	Черноусов, Илья Григорьевич
Jevgeni Leonov	Леонов, Евгений Павлович
Medgar Evers	Эверс, Медгар
Harilik kobarpea	Бузульник сибирский
Sulim Jamadajev	Ямадаев, Сулим Бекмирзаевич
Frank Kabui	Кабуи, Фрэнк
Brisingr	Эрагон. Брисингр
Urmo Aava	Аава, Урмо
Denethor II	Дэнетор II
David Thompson (korvpallur)	Томпсон, Дэвид (баскетболист)
Positiivne psühholoogia	Позитивная психология
Roger de La Fresnaye	Френе, Роже де ла
Aarja rass	Арийцы (национал-социализм)
Vana Taiwani dollar	Тайваньский доллар
Arzúa maakond	Арсуа (комарка)
Klassikaline kitarr	Классическая гитара
Serbia ja Montenegro lipp	Флаг Сербии и Черногории
Windows Fundamentals for Legacy PCs	Windows Fundamentals for Legacy PCs
As-duur	Ля-бемоль мажор
Operand	Операнд
Tihane	Синицы
Vaksal	Вокзал
Radagast	Радагаст (персонаж)
Korvpall 1976. aasta suveolümpiamängudel	Баскетбол на летних Олимпийских играх 1976
Paxoí	Паксос (остров)
Fátima Neitsi Maarja	Фатимские явления Девы Марии
Tony Benshoof	Беншуф, Тони
Kiiruisutamine 2014. aasta taliolümpiamängudel	Конькобежный спорт на зимних Олимпийских играх 2014
Levimus	Распространённость заболевания
Georg (Saksi hertsog)	Георг Бородатый
Círdan	Кирдан Корабел
Jack O'Neill	Джек О’Нилл
Inari (jumal)	Инари (богиня)
Ohulähedased	Виды, близкие к уязвимому положению
Pagaripärm	Saccharomyces cerevisiae
Elendil	Элендил
Tallinna asehaldurkond	Ревельское наместничество
Alalisvoolugeneraator	Динамо-машина
Kääbik: Smaugi laastatud maa	Хоббит: Пустошь Смауга
Türi vald	Тюри (волость)
Tallinnfilm	Таллинфильм
Laagri	Лаагри
Ajukahjustus	Повреждение мозга
Lõuna-Banat	Южно-Банатский округ
Surugaas	Компримированный природный газ
Pārsābād	Парсабад
Järva-Jaani vald	Ярва-Яаани (волость)
Imavere vald	Имавере (волость)
Koeru vald	Коэру (волость)
Barbarism	Варваризм
Paide vald	Пайде (волость)
Roosna-Alliku vald	Роосна-Аллику (волость)
Kareda vald	Кареда (волость)
Väätsa vald	Вяятса (волость)
Albu vald	Албу
Vladimir Sollogub	Соллогуб, Владимир Александрович
Bifurkatsioon	Бифуркация рек
Metsamajandus	Лесное хозяйство
Jukagiirid	Юкагиры
Asago	Асаго
Dean Kamen	Кеймен, Дин
Kihulased	Мошки
Eestimaa kubermang	Эстляндская губерния
Iisop (perekond)	Иссоп
Renault Twingo	Renault Twingo
Avtandil Koridze	Коридзе, Автандил Георгиевич
Tegevuskasum	Операционная прибыль
Moism	Моизм
Wojciech Żukrowski	Жукровский, Войцех
Naughty Dog	Naughty Dog
Suur Tõll (laev)	Суур Тылл
Ibrahima Traoré	Траоре, Ибраима
Teodor Teodorov	Теодоров, Теодор
Jari Isometsä	Исомется, Яри
Ronny Hafsås	Хафсос, Ронни
Heino Kruus	Круус, Хейно Рихардович
Rändraamatukogu	Передвижная библиотека
Ühesuunaline funktsioon	Односторонняя функция
Aleksandr Gromov	Громов, Александр Николаевич
Levente Lengyel	Лендьел, Левенте
Andrei Gelassimov	Геласимов, Андрей Валерьевич
Kirka Babitzin	Кирка (певец)
Inimese genoom	Геном человека
Lār	Лар (Иран)
Todor Burmov	Бурмов, Тодор Стоянов
Robert Luketic	Лукетич, Роберт
Rune Brattsveen	Браттсвеэн, Руне
Erling Jevne	Евне, Эрлинг
Michel van der Aa	Ван дер Аа, Мишель
Conrad Hal Waddington	Уоддингтон, Конрад Хэл
Ivan Bagrjanov	Багрянов, Иван Иванов
László Papp (maadleja)	Папп, Ласло (борец)
Mysterium Cosmographicum	Тайна мироздания
Sergio Bertoni	Бертони, Серджо
Vitali Solomin	Соломин, Виталий Мефодьевич
Prospero Colonna	Колонна, Просперо
Isikumaks	Подушный оклад
Globaalne küla	Глобальная деревня
Telegraafside	Телеграф
Tulemaa provints (Tšiili)	Тьерра-дель-Фуэго (провинция)
Kongressi kuldmedal	Золотая медаль Конгресса США
István Fekete	Фекете, Иштван
